dataset,model,seed,granularity,threshold,train_protocol,test_protocol,precision,recall,f1,auroc,aupr,fpr,fnr
ctt_test01,RandomForest,99,sample,0.021076671874780066,all positives + capped negative sampling,full official test folder,0.8275416246215943,0.41471238938053095,0.5525307394306889,0.7070138565159927,0.41279919618381056,0.0009697857392377545,0.585287610619469
ctt_test01,MLP,99,sample,0.2564561665058136,all positives + capped negative sampling,full official test folder,0.780784192226927,0.3584228824273072,0.49130825634416053,0.6240920302094812,0.36831629963302215,0.0011292001439872042,0.6415771175726928
ctt_test01,LogisticRegression,99,sample,0.42805546522140503,all positives + capped negative sampling,full official test folder,0.8630718318084485,0.35031605562579016,0.4983532849997191,0.6036889477598568,0.3559304993491053,0.0006236490116838878,0.6496839443742098
ctt_test01,GaussianNB,99,sample,2.4817331523152575e-10,all positives + capped negative sampling,full official test folder,0.9773491718823178,0.3627528445006321,0.5291182131455507,0.6566690659457368,0.36192155195404235,9.433644418988579e-05,0.6372471554993678
ctt_test01,IsolationForest,99,sample,-0.1051442075553608,all positives + capped negative sampling,full official test folder,0.012645376333678756,0.9992888748419722,0.02497471327559943,0.4688764767758087,0.010964088606476945,0.8755214659741568,0.0007111251580278129
ctt_test01,BIRCH,99,sample,0.9587658643722534,all positives + capped negative sampling,full official test folder,0.014719379868777038,0.9691213653603035,0.028998322309500797,0.6878322547256991,0.02477876152029088,0.7279187997283394,0.030878634639696586
ctt_test02,GradientBoosting,99,sample,0.07457959863904258,all positives + capped negative sampling,full official test folder,0.9335312316606936,0.9980385826627763,0.9647077526363202,0.9990331637374568,0.9893903841668268,0.001856534712552218,0.001961417337223681
ctt_test02,RandomForest,99,sample,0.021076671874780066,all positives + capped negative sampling,full official test folder,0.3026369715072681,0.9985746221835082,0.4644987809007309,0.9579134654860137,0.3493655389971958,0.06011521782375174,0.0014253778164917432
ctt_test02,MLP,99,sample,0.2564561665058136,all positives + capped negative sampling,full official test folder,0.0886441234874784,0.037796877569791734,0.052996592161116476,0.9621368254903635,0.28197240957034536,0.010152218022677541,0.9622031224302082
ctt_test02,LogisticRegression,99,sample,0.42805546522140503,all positives + capped negative sampling,full official test folder,0.22970767176138893,0.037717689913319974,0.06479596908796954,0.7228203248040388,0.06924959873484646,0.0033043962601949474,0.9622823100866801
ctt_test02,GaussianNB,99,sample,2.4817331523152575e-10,all positives + capped negative sampling,full official test folder,0.2813852813852814,0.03642632197701121,0.06450255906891958,0.5052633617097848,0.05900495871888704,0.0024303958623433457,0.9635736780229888
ctt_test02,IsolationForest,99,sample,-0.1051442075553608,all positives + capped negative sampling,full official test folder,0.02726631612410522,0.9999817259254296,0.05308516880306953,0.35638711719692817,0.02277566376206207,0.9320227571115973,1.8274074570406963e-05
