dataset,model,granularity,window_size,f1,auroc,aupr,mean_attack_ratio,precision,recall,fpr,fnr,candidate,policy,alpha_supervised,threshold,recall_at_fpr_1em04,recall_at_fpr_5em04,recall_at_fpr_1em03,seed,label_ratio,epochs,aux_loss_weight,accuracy,macro_f1,f1_at_fpr_1em04,actual_fpr_at_1em04,threshold_at_fpr_1em04,f1_at_fpr_5em04,actual_fpr_at_5em04,threshold_at_fpr_5em04,f1_at_fpr_1em03,actual_fpr_at_1em03,threshold_at_fpr_1em03,source,scope,Model,exceeds_transformer_f1,exceeds_old_cmf_f1,exceeds_old_cmf_aupr,selection_metric,metric,mean,std,n,seeds
ctt_test04,stats_only,old_window100_deep,,0.0222440249597739,0.7296082901543868,0.2940370546452382,,0.0112549642573471,0.9415282392026578,0.9524694900340488,0.0584717607973421,old:stats_only,,,1.8612452038269225e-07,0.1581395348837209,0.1847176079734219,0.2079734219269103,42.0,1.0,15.0,0.2,0.0577080181543116,0.0564667330901282,0.2710706150341685,9.946822755269905e-05,7.472623906323861e-07,0.3013550135501355,0.0004743869314051,6.456178311964322e-07,0.3215202876219825,0.0009870308734075,5.920805961068254e-07,test04,,,,,,,,,,,
ctt_test04,cmf_can_robust,old_window100_deep,,0.2108551347130027,0.7386534981206403,0.143382069636528,,0.2556818181818182,0.1794019933554817,0.0060140020658785,0.8205980066445183,old:cmf_can_robust,,,9.290128514294468e-07,0.0372093023255813,0.0631229235880398,0.0770764119601328,42.0,1.0,15.0,0.2,0.984712556732224,0.6015683256087098,0.0712015257469803,9.181682543326065e-05,1.3528027920983732e-05,0.1141826923076923,0.000489689735644,6.134467639640207e-06,0.1328751431844215,0.0009564252649297,4.596434337145183e-06,test04,,,,,,,,,,,
ctt_test01,GradientBoosting,sample,1.0,0.8521190543418946,0.8755417853308363,0.8088365679437188,,,,,,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test02,GradientBoosting,sample,1.0,0.9649126180068645,0.998277110503329,0.9459407282859518,,,,,,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test03,GradientBoosting,sample,1.0,0.657375165926924,0.7500649073201824,0.5443757866734771,,,,,,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test04,GradientBoosting,sample,1.0,0.3883776726495897,0.5925827110506519,0.2422355206604559,,,,,,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test01,GradientBoosting,window_5,5.0,0.870952778550886,0.9824948317114256,0.9301390542701627,0.4304029926883183,0.958350347080441,0.7981635776228533,0.0009179868727877,0.2018364223771467,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test02,GradientBoosting,window_5,5.0,0.913447782546495,0.9974637582367644,0.980603131662038,0.3587173604282749,0.9857135626249588,0.851054299136895,0.0009423646759317,0.148945700863105,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test03,GradientBoosting,window_5,5.0,0.6733753210654094,0.837446675461304,0.6563350199972754,0.2278571037802943,0.9435022677972786,0.5234969090212812,0.0003353285283232,0.4765030909787187,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
ctt_test04,GradientBoosting,window_5,5.0,0.5168307289874028,0.7874765482740954,0.5140487763254977,0.2784478545596716,0.8738361266294227,0.3669240543446388,0.00020578053468,0.6330759456553612,,,,,,,,,,,,,,,,,,,,,,,granularity,,,,,,,,,,,
