dataset,model,attack_type,precision,recall,f1,support,mean_score,false_negative_count,false_positive_count,gate_frame,gate_window,gate_context
ctt_test04,concat_fusion,interval-4,1.0,0.8846153846153846,0.9387755102040816,26,5.519259231662615e-06,3,0,0.248097270154036,0.4099682661203238,0.3419344551288165
ctt_test04,concat_fusion,speed-3,1.0,0.7783018867924528,0.8753315649867375,212,6.464306530465107e-06,47,0,0.26695411202480207,0.42500937420804547,0.3080365161569613
ctt_test04,concat_fusion,speed-4,1.0,0.921875,0.959349593495935,64,1.0057049516731773e-05,5,0,0.24435124779120085,0.4154667970724404,0.3401819486171007
ctt_test04,concat_fusion,systematic-3,1.0,0.9491525423728814,0.9739130434782608,59,7.90653695144949e-06,3,0,0.23832685588780092,0.41650954292992415,0.3451635973938441
ctt_test04,concat_fusion,systematic-4,1.0,0.8383838383838383,0.9120879120879121,198,1.5939534833507026e-05,32,0,0.23677945400428288,0.41006460048333565,0.3531559446845392
ctt_test04,concat_fusion,triple-3,1.0,1.0,1.0,63,0.8562303690032134,0,0,0.21841683534402692,0.4262685998091622,0.3553145556222825
ctt_test04,concat_fusion,triple-4,1.0,1.0,1.0,114,0.7212480253546617,0,0,0.2014317065477371,0.4438185467008959,0.3547497464899431
ctt_test04,transformer,double-3,1.0,1.0,1.0,178,0.9999993684586514,0,0,0.2304129682565003,0.43702619347009763,0.33256084229169264
ctt_test04,transformer,double-4,1.0,1.0,1.0,85,0.9999970681527082,0,0,0.23315535205252025,0.42580970560803133,0.3410349467221428
ctt_test04,transformer,fuzzing-3,1.0,0.9744897959183674,0.9870801033591732,196,0.9580613151572797,5,0,0.22724263993453003,0.39446046036116933,0.37829689438245734
ctt_test04,transformer,fuzzing-4,1.0,1.0,1.0,203,0.9982935231307457,0,0,0.2434742599725723,0.4119547830133015,0.34457095958329187
ctt_test04,transformer,interval-3,1.0,0.9906542056074766,0.9953051643192489,107,0.9880831164751793,1,0,0.2468973877273987,0.4153289641732367,0.33777364893494366
ctt_test04,transformer,interval-4,1.0,1.0,1.0,26,0.9999832648497361,0,0,0.248097270154036,0.4099682661203238,0.3419344551288165
ctt_test04,transformer,speed-3,1.0,1.0,1.0,212,0.9999857019141035,0,0,0.26695411202480207,0.42500937420804547,0.3080365161569613
ctt_test04,transformer,speed-4,1.0,1.0,1.0,64,0.9998530698940158,0,0,0.24435124779120085,0.4154667970724404,0.3401819486171007
ctt_test04,transformer,systematic-3,1.0,1.0,1.0,59,0.9999529830480026,0,0,0.23832685588780092,0.41650954292992415,0.3451635973938441
ctt_test04,transformer,systematic-4,1.0,0.8737373737373737,0.9326145552560646,198,0.8993270737401238,25,0,0.23677945400428288,0.41006460048333565,0.3531559446845392
ctt_test04,transformer,triple-3,1.0,1.0,1.0,63,0.9999997805035303,0,0,0.21841683534402692,0.4262685998091622,0.3553145556222825
ctt_test04,transformer,triple-4,1.0,1.0,1.0,114,0.9999997689012896,0,0,0.2014317065477371,0.4438185467008959,0.3547497464899431
road,cmf_can,fuzzing,1.0,0.07352941176470588,0.13698630136986303,68,0.998481991536477,63,0,0.16705203571302046,0.606638385749915,0.22630958609721238
road,cmf_can,malfunction,0.0,0.0,0.0,56,7.756575374376748e-07,56,0,0.37921761508498875,0.4794420786201954,0.14134030975401396
road,cmf_can,masquerade,1.0,0.9008264462809917,0.9478260869565218,484,0.9276854319855941,48,0,0.5350297744855408,0.18063702754491615,0.2843331957528414
road,cmf_can,spoof,1.0,0.631109022556391,0.77384039181792,2128,0.667089341668441,785,0,0.4853042388909069,0.2655587628224682,0.24913699850019874
road,concat_fusion,fuzzing,1.0,0.5882352941176471,0.7407407407407407,68,0.9839988179943141,28,0,0.16705203571302046,0.606638385749915,0.22630958609721238
road,concat_fusion,malfunction,0.0,0.0,0.0,56,5.686683400237971e-06,56,0,0.37921761508498875,0.4794420786201954,0.14134030975401396
road,concat_fusion,masquerade,1.0,0.8801652892561983,0.9362637362637362,484,0.9276839621405608,58,0,0.5350297744855408,0.18063702754491615,0.2843331957528414
road,concat_fusion,spoof,1.0,0.6179511278195489,0.7638687191402846,2128,0.6671225110066673,813,0,0.4853042388909069,0.2655587628224682,0.24913699850019874
road,transformer,fuzzing,1.0,1.0,1.0,68,1.0,0,0,0.16705203571302046,0.606638385749915,0.22630958609721238
road,transformer,malfunction,0.0,0.0,0.0,56,1.002000840633066e-08,56,0,0.37921761508498875,0.4794420786201954,0.14134030975401396
road,transformer,masquerade,1.0,0.9256198347107438,0.9613733905579399,484,0.9276859510832484,36,0,0.5350297744855408,0.18063702754491615,0.2843331957528414
road,transformer,spoof,1.0,0.6663533834586466,0.799774393683023,2128,0.6698954829794725,710,0,0.4853042388909069,0.2655587628224682,0.24913699850019874
