model,local_model,feature_protocol,source,reported_accuracy,reported_precision,reported_recall,reported_f1,diff_f1_attack,diff_f1_normal,diff_f1_macro,diff_f1_weighted,diff_f1_accuracy,diff_recall_attack,diff_recall_normal,diff_recall_weighted,diff_recall_accuracy,diff_precision_attack,diff_precision_normal,diff_precision_weighted,best_matching_f1_metric,best_matching_recall_metric,best_matching_precision_metric,overall_metric_hypothesis,best_f1_diff
RandomForest,RandomForest,P1_public_default,test04_public_reproduction,0.9988,0.0011,0.0001,0.0003,0.001852507189568954,0.0003,0.0007762535947844771,0.00029768086041711406,0.00077741316457592,0.9999,0.0001,0.0009774131645759198,0.0009774131645759198,2.258683542408018e-05,0.0011,0.0010988391808727986,weighted,normal,attack,weighted/accuracy-like,0.00029768086041711406
KMeans,,,,,,,,,,,,,,,,,,,,,,,unknown_no_local_row,
MiniBatchKMeans,,,,,,,,,,,,,,,,,,,,,,,unknown_no_local_row,
BIRCH,BIRCH,SAFE_CAN,test04_public_reproduction,0.999,0.9979,0.999,0.9984,0.995914829103819,0.6822476896675701,0.8390812593856946,0.6825856387728936,0.8098231210414388,0.06085060376298801,0.8112315913959621,0.8104231210414389,0.8104231210414389,0.9966557665559957,0.0017448452779136314,0.0006691553152031737,normal,attack,weighted,weighted/accuracy-like,0.6822476896675701
BIRCH,BIRCH,P1_public_default,test04_public_reproduction,0.999,0.9979,0.999,0.9984,0.9961280627442776,0.7191926641984259,0.8576603634713518,0.7194910380425563,0.8353466334809696,0.11455742768885147,0.8367247060136627,0.8359466334809695,0.8359466334809695,0.9967625704697545,0.001332528125093213,0.0002571673263684904,normal,attack,weighted,weighted/accuracy-like,0.7191926641984259
MLP,MLP,P1_public_default,test04_public_reproduction,0.9973,0.9979,0.9973,0.9976,0.9958680320793492,0.0701823422186012,0.5330251871489752,0.07117968816711662,0.13292540804830055,0.8883418421791631,0.13181031101720986,0.13262540804830047,0.13262540804830047,0.9970270781810604,0.0009908132736756725,8.446434105990885e-05,normal,normal,weighted,weighted/accuracy-like,0.0701823422186012
MLP,MLP,SAFE_CAN,test04_public_reproduction,0.9973,0.9979,0.9973,0.9976,0.989469918699187,0.007940604523886452,0.4987052616115367,0.008998117128396044,0.01806782453535427,0.9194426565571469,0.016795300390850976,0.017767824535354193,0.017767824535354193,0.9936110260277681,0.0010866521215693314,1.4951748358194017e-05,normal,normal,weighted,weighted/accuracy-like,0.007940604523886452
MLP,MLP,P1_public_default,test04_public_reproduction,0.9973,0.9979,0.9973,0.9976,0.9959168415520397,0.06903784035440674,0.5324773409532233,0.07003647199226604,0.13093449314344208,0.8929753720864926,0.12981225115022643,0.130634493143442,0.130634493143442,0.9970515766058954,0.000987616965663518,8.768360025324107e-05,normal,normal,weighted,weighted/accuracy-like,0.06903784035440674
MLP,MLP,SAFE_CAN,test04_public_reproduction,0.9973,0.9979,0.9973,0.9976,0.9939819043715437,0.015474990293596003,0.5047284473325698,0.01652924652445198,0.032719932559563514,0.9381171861836562,0.031443069930732315,0.032419932559563436,0.032419932559563436,0.9960339112379274,0.0010504893487316425,2.378251065371373e-05,normal,normal,weighted,weighted/accuracy-like,0.015474990293596003
MLP,MLP,P1_public_default,test04_public_reproduction,0.9973,0.9979,0.9973,0.9976,0.9954455130243868,0.05189996734793623,0.5236727401861615,0.052916555740225024,0.10059522221268324,0.8940986520640269,0.09943904549120486,0.10029522221268317,0.10029522221268317,0.9968113933424668,0.0010238602029197796,5.1220635328030895e-05,normal,normal,weighted,weighted/accuracy-like,0.05189996734793623
MLP,MLP,P3_no_subdivision,test04_public_reproduction,0.9973,0.9979,0.9973,0.9976,0.9956595290288682,0.24974521395858618,0.6227023714937272,0.2505488718612886,0.40018355265720684,0.6340593372648133,0.39963097645512047,0.39988355265720676,0.39988355265720676,0.9969271660221846,0.0009521999227291023,0.00012292844279859771,normal,normal,weighted,weighted/accuracy-like,0.24974521395858618
MLP,MLP,P5_arbitration_payload_only,test04_public_reproduction,0.9973,0.9979,0.9973,0.9976,0.992652991091863,0.033019322944862206,0.5128361570183626,0.03405324489209405,0.06600378486379721,0.8394791631564168,0.06486920990275014,0.06570378486379713,0.06570378486379713,0.9953871113853529,0.001126770070048022,5.311289548526332e-05,normal,normal,weighted,weighted/accuracy-like,0.033019322944862206
MLP,MLP,P7_public_plus_delta,test04_public_reproduction,0.9973,0.9979,0.9973,0.9976,0.986420625035067,0.0029611369701861845,0.4946908810026266,0.004020729169454396,0.008264453950685202,0.9413466161190677,0.006957731065094563,0.007964453950685124,0.007964453950685124,0.991689932990494,0.0010729010713618203,3.285324641777443e-06,normal,normal,weighted,weighted/accuracy-like,0.0029611369701861845
MLP,MLP,SAFE_CAN,test04_public_reproduction,0.9973,0.9979,0.9973,0.9976,0.9911435039392654,0.010881459053420861,0.5010124814963431,0.011937606285314928,0.023812515283964997,0.9182491715810166,0.022547474483979646,0.02351251528396492,0.02351251528396492,0.9945343049809895,0.0010819962016149764,9.30609185445519e-06,normal,normal,weighted,weighted/accuracy-like,0.010881459053420861
RestrictedBoltzmannMachine,,,,,,,,,,,,,,,,,,,,,,,unknown_no_local_row,
AdaBoost,,,,,,,,,,,,,,,,,,,,,,,unknown_no_local_row,
